,match,nome-geografico,uc-entrada,uc-saida,name,nome-vide,lookup,nome-pai,vide_type,faculdade,match_type,match_error,match_obs
232142,174209,Setúbal,0000-00-00,0000-00-00,André de Oliveira Lobo,Oliveira,André de Oliveira,,cut,Medicina,see-aka,False,
174209,232142,Setúbal,1652-10-30,1661-11-01,André de Oliveira,Lobo,André de Oliveira Lobo,,add,Medicina,aka-see,False,
136769,248779,Elvas,0000-00-00,0000-00-00,André Pires Reimão,Pires,André Pires,Diogo Pires Reimão,cut,Cânones,see-aka,False,
248779,136769,Elvas,1581-10-21,1588-01-12,André Pires,Reimão,André Pires Reimão,Diogo Pires Reimão,add,Cânones,aka-see,False,
129266,190979,Setúbal,0000-00-00,0000-00-00,André Rodrigues Caldeira,Rodrigues,André Rodrigues,,cut,,see-aka,False,
190979,129266,Setúbal,1576-03-10,1585-11-10,André Rodrigues,Caldeira,André Rodrigues Caldeira,Tristão Lopes,add,Medicina,aka-see,False,
193284,190999,Verride,0000-00-00,0000-00-00,André Rodrigues Coelho,Rodrigues,André Rodrigues,,cut,,see-aka,False,
190999,193284,Verride,1619-10-19,1629-07-09,André Rodrigues,Coelho,André Rodrigues Coelho,António Coelho,add,Medicina,aka-see,False,
215622,133420,Lisboa,0000-00-00,0000-00-00,André Sanches,Deleiro,André Sanches Deleiro,,add,Leis,see-aka,False,
133420,215622,Lisboa,1654-10-15,1658-07-26,André Sanches Deleiro,Sanches,André Sanches,,cut,Leis,aka-see,False,
222372,140377,Várzae de Meruge,1728-10-01,1731-10-01,André de Sequeira,Abranches,André de Sequeira Abranches,,add,Cânones,aka-see,False,
140377,222372,Várzea de Meruge,0000-00-00,0000-00-00,André de Sequeira Abranches,Sequeira,André de Sequeira,,cut,,see-aka,False,
231712,150584,São Pedro da Torre,0000-00-00,0000-00-00,André Soares,Barbosa,André Soares Barbosa,,add,,see-aka,False,
150584,231712,São Pedro da Torre,1708-10-01,1715-07-15,André Soares Barbosa,Soares,André Soares,João Esteves de Carvalho,cut,Cânones,aka-see,False,
127765,211625,Coimbra,0000-00-00,0000-00-00,André Vaz Cabaço,Vaz,André Vaz,,cut,,see-aka,False,
211625,127765,Coimbra,1587-11-23,1601-02-19,André Vaz,Cabaço,André Vaz Cabaço,Francisco Vaz,add,Cânones,aka-see,False,
211632,168577,Coimbra,0000-00-00,0000-00-00,André Vaz,Frois,André Vaz Frois,,add,,see-aka,False,
168577,211632,Coimbra,1579-01-23,1586-10-01,André Vaz Frois,Vaz,André Vaz,André Vaz,cut,Cânones,aka-see,False,
139532,214202,Barcelos,0000-00-00,0000-00-00,André Velho da Fonseca,Velho,André Velho,,cut,,see-aka,False,
214202,139532,Barcelos,1592-03-01,1601-10-16,André Velho,Fonseca,André Velho Fonseca,Paulo Velho,add,Leis,aka-see,False,
143874,215628,Évora,0000-00-00,0000-00-00,Antão Álvares,Sanches,Antão Álvares Sanches,,add,,see-aka,False,
215628,143874,Évora,1581-12-01,1586-05-21,Antão Álvares Sanches,Álvares,Antão Álvares,Manuel Pires Sanches,cut,Cânones,aka-see,False,
241879,140571,Crato,0000-00-00,0000-00-00,António de Abreu Faleiro,António Dias de Abreu,António Dias de Abreu,,rep,,see-aka,False,
140571,241879,Crato,1581-10-03,1589-10-01,António Dias de Abreu,António de Abreu Faleiro,António de Abreu Faleiro,Gonçalo Dias,rep,Leis,aka-see,False,
217684,140549,Ponte de Lima,0000-00-00,0000-00-00,António de Abreu de Lima,Abreu,António de Abreu,,cut,,see-aka,False,
140549,217684,Ponte de Lima,1636-10-19,1644-10-03,António de Abreu,Lima,António de Abreu Lima,Pedro Gomes,add,Leis,aka-see,False,
242363,141790,Buarcos,0000-00-00,0000-00-00,António Aires Faleiro,Aires,António Aires,Vale Francisco Faleiro,cut,,see-aka,False,
141790,242363,Buarcos,1624-10-19,1626-10-03,António Aires,Faleiro,António Aires Faleiro,,add,Cânones,aka-see,False,
225941,181220,Mesejana,1748-11-08,1750-10-01,António de Almeida Pereira,Guerra de Macedo,António de Almeida Pereira Guerra de Macedo,,add,Cânones,aka-see,False,
181220,225941,Messejana,0000-00-00,0000-00-00,António de Almeida Pereira Guerra de Macedo,Pereira,António de Almeida Pereira,,cut,,see-aka,False,
235056,142554,Fonte Arcada,0000-00-00,0000-00-00,António de Almeida e Sousa,Sousa,António de Almeida e Sousa,,cut,,see-aka,False,W01-Single match (asymmetric) data
189294,142536,Barcelos,0000-00-00,0000-00-00,António de Almeida Castelo Branco,Almeida,António de Almeida,,cut,,see-aka,False,
142536,189294,Barcelos,1555-07-15,1562-01-25,António de Almeida,Castelo Branco,António de Almeida Castelo Branco,,add,Cânones,aka-see,False,
208913,142552,Figueiró dos Vinhos,0000-00-00,0000-00-00,António de Almeida da Cunha,Almeida,António de Almeida,,cut,,see-aka,False,
