id,name,name_sp,nome-vide,vide_type,lookup,lookup_sp
225361,Alexandre de Figueiredo Perdigão,Alexandre Figueiredo Perdigão,Figueiredo,cut,Alexandre de Figueiredo,Alexandre Figueiredo
220028,Alexandre Gomes Vogado,Alexandre Gomes Vogado,Azambuja Tavares,add,Alexandre Gomes Vogado Azambuja Tavares,Alexandre Gomes Vogado Azambuja Tavares
197084,Alexandre Gomes Vogado Azambuja Tavares,Alexandre Gomes Vogado Azambuja Tavares,Vogado,cut,Alexandre Gomes Vogado,Alexandre Gomes Vogado
310938,"Alexandre Jansen Moler Van-Prat, vide Alexandre Jansen Moler","Alexandre Jansen Moler Van-Prat, vide Alexandre Jansen Moler",,novid,"Alexandre Jansen Moler Van-Prat, vide Alexandre Jansen Moler","Alexandre Jansen Moler Van-Prat, vide Alexandre Jansen Moler"
247750,Alexandre José e Nogueira de Miranda,Alexandre José Nogueira Miranda,Nogueira,cut,Alexandre José e Nogueira,Alexandre José Nogueira
233816,Alexandre Manuel Macedo Soutomaior,Alexandre Manuel Macedo Soutomaior,Soutomaior,cut,Alexandre Manuel Macedo Soutomaior,Alexandre Manuel Macedo Soutomaior
242800,Alexandre Manuel de Macedo Soutomaior,Alexandre Manuel Macedo Soutomaior,Soutomaior,cut,Alexandre Manuel de Macedo Soutomaior,Alexandre Manuel Macedo Soutomaior
241164,Alexandre de Mesquita,Alexandre Mesquita,Ferreira,add,Alexandre de Mesquita Ferreira,Alexandre Mesquita Ferreira
227577,Alexandre Monteiro da Rosa,Alexandre Monteiro Rosa,Sequeira,add,Alexandre Monteiro da Rosa Sequeira,Alexandre Monteiro Rosa Sequeira
235565,Alexandre da Mota,Alexandre Mota,Serrão,add,Alexandre da Mota Serrão,Alexandre Mota Serrão
223840,Alexandre da Mota Serrão,Alexandre Mota Serrão,Mota,cut,Alexandre da Mota,Alexandre Mota
141976,Alexandre de Novais e Albuquerque,Alexandre Novais Albuquerque,Alexandre de Novais,cut,Alexandre de Novais,Alexandre Novais
311657,Alexandre de Proença,Alexandre Proença,Lemos,add,Alexandre de Proença Lemos,Alexandre Proença Lemos
190779,Alexandre Rodrigues,Alexandre Rodrigues,de Araújo,add,Alexandre Rodrigues de Araújo,Alexandre Rodrigues Araújo
270945,Alexandre Rodrigues Osório Passos de Amorim,Alexandre Rodrigues Osório Passos Amorim,Alexandre Rodrigues Osório,cut,Alexandre Rodrigues Osório,Alexandre Rodrigues Osório
234287,Alexandre de Sousa,Alexandre Sousa,Freire,add,Alexandre de Sousa Freire,Alexandre Sousa Freire
199318,Alexandre Teixeira,Alexandre Teixeira,Sampaio,add,Alexandre Teixeira Sampaio,Alexandre Teixeira Sampaio
208783,Alexandre de Vasconcelos Coutinho de Sousa Freire Vasconcelos,Alexandre Vasconcelos Coutinho Sousa Freire Vasconcelos,Alexandre de Sousa Freire de Vasconcelos,rep,Alexandre de Sousa Freire de Vasconcelos,Alexandre Sousa Freire Vasconcelos
310291,Alfredo Abílio de Almeida Silvano,Alfredo Abílio Almeida Silvano,Almeida,cut,Alfredo Abílio de Almeida,Alfredo Abílio Almeida
297378,Alípio António Diogo da Silva,Alípio António Diogo Silva,Alípio António dos Santos,rep,Alípio António dos Santos,Alípio António Santos
297378,Alípio António Diogo da Silva,Alípio António Diogo Silva,Alípio António dos Santos,rep,Alípio António dos Santos,Alípio António Santos
289245,Alípio Freire de Figueiredo Ferrão Abreu Castelo Branco,Alípio Freire Figueiredo Ferrão Abreu Castelo Branco,Alípio de Figueiredo Freire e Abreu,rep,Alípio de Figueiredo Freire e Abreu,Alípio Figueiredo Freire Abreu
199124,Amador da Costa,Amador Costa,Amaro Fernandes da Costa,rep,Amaro Fernandes da Costa,Amaro Fernandes Costa
197502,Amador Leal,Amador Leal,Vasconcelos,add,Amador Leal Vasconcelos,Amador Leal Vasconcelos
208805,Amador Leal de Vasconcelos,Amador Leal Vasconcelos,Leal,cut,Amador Leal,Amador Leal
193272,Amaro Coelho,Amaro Coelho,da Silva,add,Amaro Coelho da Silva,Amaro Coelho Silva
224321,Amaro Coelho da Silva,Amaro Coelho Silva,Coelho,cut,Amaro Coelho,Amaro Coelho
144722,Amaro da Cunha Alves,Amaro Cunha Alves,Cunha,cut,Amaro da Cunha,Amaro Cunha
224323,Amaro Duarte da Silva,Amaro Duarte Silva,Duarte,cut,Amaro Duarte,Amaro Duarte
199139,Amaro Fernandes da Costa,Amaro Fernandes Costa,Amaro da Costa,rep,Amaro da Costa,Amaro Costa
178261,Amaro Gomes,Amaro Gomes,Figueiredo,add,Amaro Gomes Figueiredo,Amaro Gomes Figueiredo
245484,Amaro Luís de Mesquita Pinto,Amaro Luís Mesquita Pinto,Mesquita,cut,Amaro Luís de Mesquita,Amaro Luís Mesquita
173626,Amaro de Meireles,Amaro Meireles,Freire,add,Amaro de Meireles Freire,Amaro Meireles Freire
164250,Amaro de Meireles Freire,Amaro Meireles Freire,Meireles,cut,Amaro de Meireles,Amaro Meireles
204942,Amaro Mendes,Amaro Mendes,Sampaio,add,Amaro Mendes Sampaio,Amaro Mendes Sampaio
172677,Amaro Nunes,Amaro Nunes,Homem,add,Amaro Nunes Homem,Amaro Nunes Homem
172681,Amaro Nunes,Amaro Nunes,Homem,add,Amaro Nunes Homem,Amaro Nunes Homem
190285,Amaro Nunes Homem,Amaro Nunes Homem,Nunes,cut,Amaro Nunes,Amaro Nunes
225666,Amaro Pereira de,Amaro Pereira,Aguiar,add,Amaro Pereira de Aguiar,Amaro Pereira Aguiar
152556,Amaro dos Santos Ribeiro,Amaro Santos Ribeiro,Santos,cut,Amaro dos Santos,Amaro Santos
231025,Amaro Simões,Amaro Simões,Neves,add,Amaro Simões Neves,Amaro Simões Neves
231024,Amaro Simões,Amaro Simões,Neves,add,Amaro Simões Neves,Amaro Simões Neves
231025,Amaro Simões,Amaro Simões,Neves,add,Amaro Simões Neves,Amaro Simões Neves
169177,Amaro Simões das Neves,Amaro Simões Neves,Simões,cut,Amaro Simões,Amaro Simões
177897,Ambrósio José Botelho Godinho,Ambrósio José Botelho Godinho,Botelho,cut,Ambrósio José Botelho,Ambrósio José Botelho
190139,Ambrósio Pereira de Berredo e Castro,Ambrósio Pereira Berredo Castro,Ambrósio Pereira de Castro,rep,Ambrósio Pereira de Castro,Ambrósio Pereira Castro
190138,Ambrósio Pereira de Castro,Ambrósio Pereira Castro,Ambrósio Pereira de Berredo e Castro,rep,Ambrósio Pereira de Berredo e Castro,Ambrósio Pereira Berredo Castro
277495,Ambrósio Rodrigues Cardoso,Ambrósio Rodrigues Cardoso,Ambrósio Rodrigues da Silva,rep,Ambrósio Rodrigues da Silva,Ambrósio Rodrigues Silva
211616,Ambrósio Vaz,Ambrósio Vaz,Golias,add,Ambrósio Vaz Golias,Ambrósio Vaz Golias
181209,Anacleto José de Macedo,Anacleto José Macedo,Anacleto José de Macedo Portugal,rep,Anacleto José de Macedo Portugal,Anacleto José Macedo Portugal
293212,Anacleto José Pereira,Anacleto José Pereira,Furtado,add,Anacleto José Pereira Furtado,Anacleto José Pereira Furtado
146615,André,André,André Pacheco,rep,André Pacheco,André Pacheco
137775,André Afonso de Resende,André Afonso Resende,Afonso,cut,André Afonso,André Afonso
291389,André Alves Pereira Ribeiro e Cirne,André Alves Pereira Ribeiro Cirne,Ribeiro,cut,André Alves Pereira Ribeiro,André Alves Pereira Ribeiro
