gml_id,text,sourceOfNa
PT.GN.112683,Foros da Catrapona,DGT
PT.GN.112684,Águas de Moura,DGT
PT.GN.112685,Aroeira,DGT
PT.GN.112686,Cajados,DGT
PT.GN.112687,Verdizela,DGT
PT.GN.112688,Laranjeiras,DGT
PT.GN.112689,Vale de Touros,DGT
PT.GN.112690,Biscaia,DGT
PT.GN.112691,Covas de Coina,DGT
PT.GN.112692,Bairro da Assunção,DGT
PT.GN.112693,Coina,DGT
PT.GN.112694,Sesmarias do Pato,DGT
PT.GN.112695,Marquesa I e III,DGT
PT.GN.112696,Lagoinha,DGT
PT.GN.112697,Penalva,DGT
PT.GN.112698,Cabrela,DGT
PT.GN.112699,Pinhal dos Frades,DGT
PT.GN.112700,Landeira,DGT
PT.GN.112701,Flor da Mata,DGT
PT.GN.112702,Olhos de Água,DGT
PT.GN.112703,Bairro dos Marinheiros,DGT
PT.GN.112704,Vale de Marmelos,DGT
PT.GN.112705,Batudes,DGT
PT.GN.112706,Belverde,DGT
PT.GN.112707,Marisol,DGT
PT.GN.112708,Barra Cheia,DGT
PT.GN.112709,Quinta das Flores,DGT
PT.GN.112710,Lau,DGT
PT.GN.112711,Bairro Margaça,DGT
PT.GN.112712,Vale do Alecrim,DGT
PT.GN.112713,Areias Gordas,DGT
PT.GN.112714,Venda do Alcaide,DGT
PT.GN.112715,Casal do Marco,DGT
PT.GN.112716,Reguengo,DGT
PT.GN.112717,Quintinhas,DGT
PT.GN.112718,Bairro dos Canaviais,DGT
PT.GN.112719,Foros de Amora,DGT
PT.GN.112720,Vale Cavala,DGT
PT.GN.112721,Pinhal do Conde da Cunha,DGT
PT.GN.112722,Cascalheira,DGT
PT.GN.112723,Fogueteiro,DGT
PT.GN.112724,Cortagueira,DGT
PT.GN.112725,Torre da Marinha,DGT
PT.GN.112726,Amassador,DGT
PT.GN.112727,Fonte do Feto,DGT
PT.GN.112728,Arraiados,DGT
PT.GN.112729,Soutelo,DGT
PT.GN.112730,Quinta da Courela,DGT
PT.GN.112731,Terena,DGT
PT.GN.112732,Botequim,DGT
PT.GN.112733,Paivas,DGT
PT.GN.112734,Palhais,DGT
PT.GN.112735,Farinheiras,DGT
PT.GN.112736,Santo António,DGT
PT.GN.112737,Vale de Milhaços,DGT
PT.GN.112738,Brejos da Moita,DGT
PT.GN.112739,Cavadas,DGT
PT.GN.112740,Aldeia de Paio Pires,DGT
PT.GN.112741,Agualva de Cima,DGT
PT.GN.112742,Vale da Vila,DGT
PT.GN.112743,Cruz de Pau,DGT
PT.GN.112744,Charneca da Caparica,DGT
PT.GN.112745,Arrentela,DGT
PT.GN.112746,Vale Rosal,DGT
PT.GN.112747,Santa Marta de Corroios,DGT
PT.GN.112748,Quinta da Boa Hora,DGT
PT.GN.112749,Maia,DGT
PT.GN.112750,Cabeço Verde,DGT
PT.GN.112751,Courelas da Capela,DGT
PT.GN.112752,Vale de Gatos,DGT
PT.GN.112753,Santa Marta do Pinhal,DGT
PT.GN.112754,Quinta do Cabral,DGT
PT.GN.112755,Pinhal Novo,DGT
PT.GN.112756,Amora,DGT
PT.GN.112757,Rego de Água,DGT
PT.GN.112758,Cavaquinhas,DGT
PT.GN.112759,Vale da Romeira,DGT
PT.GN.112760,Pinhal do Vidal,DGT
PT.GN.112761,Poceirão,DGT
PT.GN.112762,Vale Fetal,DGT
PT.GN.112763,Fonte da Vaca,DGT
PT.GN.112764,Quinta da Princesa,DGT
PT.GN.112765,Lagoa da Palha,DGT
PT.GN.112766,Vila Chã,DGT
PT.GN.112767,Terras da Costa,DGT
PT.GN.112768,Murtinheira,DGT
PT.GN.112769,Alto do Moinho,DGT
PT.GN.112770,Vila Nova,DGT
PT.GN.112771,Lazarim,DGT
