count,date_in,date_max,naturalidade,normalizada,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
1,1739-10-01,1739-10-01,SãoSilvestre,SãoSilvestre,,,,,,,,,,,
1,1665-03-21,1665-03-21,SãoVicente,SãoVicente,,,,,,,,,,,
1,1605-01-23,1605-01-23,SãoVicente da Beira,SãoVicente da Beira,,,,,,,,,,,
1,1768-10-01,1768-10-01,SãoVicente de Chã,SãoVicente de Chã,,,,,,,,,,,
1,1892-10-14,1892-10-14,"Sé, Braga","Sé, Braga",osm,3149262426.0,"Sé, Maximinos, Sé e Cividade, Braga, Braga, Portugal",Braga,Portugal,0.5492608781983973,place,suburb,41.5497764,-8.4272535,149.07060054429016
1,1740-10-01,1740-10-01,"Sé, Feira","Sé, Feira",osm,846765033.0,"Largo da Feira dos Estudantes, Sé Nova, Alta, Sé Nova, Santa Cruz, Almedina e São Bartolomeu, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.325,place,square,40.20904585,-8.424407885279276,0.2257428945936586
1,1583-10-14,1583-10-14,Sétubalr,Sétubalr,,,,,,,,,,,
1,1758-10-30,1758-10-30,Sítio da Senhora dos Milagres,Sítio da Senhora dos Milagres,,,,,,,,,,,
1,1728-11-19,1728-11-19,"Sóligo, São  Martinho de Pessegueiro","Sóligo, São  Martinho de Pessegueiro",,,,,,,,,,,
1,1596-03-16,1596-03-16,Sôza,Sôza,osm,1241758157.0,"La Soza, Morales de Rey, Zamora, Castilla y León, España",,España,0.125,place,locality,42.0720604,-5.761015,304.8371656444378
1,1648-10-14,1648-10-14,"Sôza, Guimarães","Sôza, Guimarães",,,,,,,,,,,
1,1861-10-08,1861-10-08,Tabaçô,Tabaçô,osm,5636314.0,"Tabaçô, Tabaçô, Tabaçô, Souto e Tabaçô, Arcos de Valdevez, Viana do Castelo, Portugal",Souto e Tabaçô,Portugal,0.3744313097683034,boundary,historic,41.82709055,-8.436977499756685,179.87344793525511
1,1751-10-01,1751-10-01,Taboadelo,Taboadelo,osm,12688959.0,"Taboadelo, Ponte Caldelas, Pontevedra, Pontevedra, Galicia, España",Ponte Caldelas,España,0.41,boundary,administrative,42.3724053,-8.5519097,240.6731392907841
1,1904-10-03,1904-10-03,"Tabuada, Marco de Canaveses","Tabuada, Marco de Canaveses",,,,,,,,,,,
1,1731-10-01,1731-10-01,Tabuas,Tabuas,osm,5471518349.0,"Tábuas, Miranda do Corvo, Miranda do Corvo, Coimbra, Portugal",Miranda do Corvo,Portugal,0.25,place,hamlet,40.0695346,-8.3035809,18.527346067954404
1,1752-10-01,1752-10-01,"Tacoaria, Seiça","Tacoaria, Seiça",,,,,,,,,,,
1,1752-10-01,1752-10-01,Tagorro,Tagorro,,,,,,,,,,,
1,1753-04-04,1753-04-04,Tagoso,Tagoso,,,,,,,,,,,
1,1711-10-01,1711-10-01,Taipa,Taipa,osm,1330250114.0,"Taipa, Requeixo, Nossa Senhora de Fátima e Nariz, Aveiro, Aveiro, Portugal",Aveiro,Portugal,0.36,place,hamlet,40.5976992,-8.535883,44.32975977460856
1,1682-10-01,1682-10-01,Talaia,Talaia,osm,1242130551.0,"Talaia, Alacant / Alicante, l'Alacantí, Alacant / Alicante, ES-A, Comunitat Valenciana, España",Alacant / Alicante,España,0.235,place,locality,38.3520953,-0.6427357,702.1691955215547
1,1860-10-09,1860-10-09,Talhadela,Talhadela,,,,,,,,,,,
1,1734-10-25,1734-10-25,Talhinhas,Talhinhas,osm,1482100440.0,"Talhinhas, Macedo de Cavaleiros, Bragança, Portugal",Macedo de Cavaleiros,Portugal,0.385,place,village,41.5275095,-6.7026387,206.3856399113954
1,1719-10-01,1719-10-01,Taliga,Taliga,osm,968586682.0,"Táliga, Táliga, Llanos de Olivenza, Badajoz, Extremadura, España",Táliga,España,0.4837486180714317,place,village,38.5278436,-7.0146689,222.62131332968465
1,1723-10-23,1723-10-23,Taliscas,Taliscas,osm,3948333548.0,"Taliscas, Paul, Covilhã, Castelo Branco, Portugal",Covilhã,Portugal,0.36,place,hamlet,40.2207831,-7.6182927,68.77338915067382
1,1741-11-15,1741-11-15,Talões,Talões,,,,,,,,,,,
1,1748-10-01,1748-10-01,Tamanhos,Tamanhos,osm,6372247.0,"Tamanhos, Trancoso, Guarda, Portugal",Trancoso,Portugal,0.413230229325644,boundary,administrative,40.7615925,-7.3156289,112.47175185377286
1,1714-10-01,1714-10-01,Tamarite,Tamarite,osm,348103.0,"Tamarite de Litera, La Litera / La Llitera, Huesca, Aragón, España",,España,0.5809444259073206,boundary,administrative,41.8683507,0.4213037,766.0766623570706
1,1768-07-11,1768-07-11,Tant'Arcada,Tant'Arcada,,,,,,,,,,,
1,1734-10-01,1734-10-01,Tanços,Tanços,osm,6483278.0,"Tancos, Vila Nova da Barquinha, Santarém, Portugal",Vila Nova da Barquinha,Portugal,0.3054395124350446,boundary,administrative,39.4606302,-8.3985263,82.95072552449982
1,1716-11-02,1716-11-02,Tapada,Tapada,osm,3327865905.0,"Tapada, Ceira, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.36,place,hamlet,40.1792855,-8.3730126,5.4883137291473085
1,1767-10-01,1767-10-01,"Tapeus, Redinha","Tapeus, Redinha",,,,,,,,,,,
1,1743-11-02,1743-11-02,"Tapéus, Soure","Tapéus, Soure",osm,6553748.0,"Tapéus, Soure, Coimbra, Portugal",Soure,Portugal,0.4791452947568411,boundary,administrative,40.0367231,-8.5399332,21.29704810425605
1,1692-12-21,1692-12-21,Targe,Targe,osm,670642246.0,"Targé, Châtellerault, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France",Châtellerault,France,0.25,place,hamlet,46.7900055,0.5816946,1030.984793937881
1,1748-12-01,1748-12-01,Tarouca de Tonda,Tarouca de Tonda,,,,,,,,,,,
