count,date_min,date_max,naturalidade,normalizada
1,1819-11-12,1819-11-12,Fornos de Macieira Dão,Fornos de Macieira Dão
1,1691-10-01,1691-10-01,Fornos de Penaguião,Fornos de Penaguião
1,1844-10-31,1844-10-31,Fornos de Pinhal,Fornos de Pinhal
1,1760-10-01,1760-10-01,Fornos do Douro,Fornos do Douro
1,1909-07-03,1909-07-03,"Fornos, Aveiro","Fornos, Aveiro"
1,1600-11-02,1600-11-02,"Fornos, Castelo Branco","Fornos, Castelo Branco"
1,1895-10-12,1895-10-12,"Fornos, Castelo de Paiva","Fornos, Castelo de Paiva"
1,1766-10-01,1766-10-01,"Fornos, Mangualde","Fornos, Mangualde"
1,1740-01-17,1740-01-17,"Fornos, Monforte","Fornos, Monforte"
1,1877-10-04,1877-10-04,"Fornos, Porto","Fornos, Porto"
1,1875-10-15,1875-10-15,"Fornos, distrito de Aveiro","Fornos, distrito de Aveiro"
1,1908-10-01,1908-10-01,Foz Côa,Foz Côa
1,1875-10-15,1875-10-15,Foz Dão,Foz Dão
1,1821-10-26,1821-10-26,Foz da Moure,Foz da Moure
1,1848-10-09,1848-10-09,Foz de Arouca,Foz de Arouca
1,1762-12-15,1762-12-15,"Foz de Arouce, Lousã","Foz de Arouce, Lousã"
1,1719-10-25,1719-10-25,Foz de Cima,Foz de Cima
1,1800-10-27,1800-10-27,Foz de Moura,Foz de Moura
1,1853-10-31,1853-10-31,Foz do Dão,Foz do Dão
1,1889-10-15,1889-10-15,"Fradelos, Vila Nova de Famalicão","Fradelos, Vila Nova de Famalicão"
1,1755-10-01,1755-10-01,Frades,Frades
1,1744-10-01,1744-10-01,Fragas,Fragas
1,1705-10-01,1705-10-01,Fragosela de Bairro,Fragosela de Bairro
1,1816-07-03,1816-07-03,Fragoso,Fragoso
1,1793-10-31,1793-10-31,"Fraião, Braga","Fraião, Braga"
1,1756-10-01,1756-10-01,"Fraldeu, Miranda do Corvo","Fraldeu, Miranda do Corvo"
1,1712-10-01,1712-10-01,Framil,Framil
1,1756-10-01,1756-10-01,Francelos,Francelos
