value,count,date_in,date_max
Arrifana do Sousa,24,1577-02-13,1765-10-01
Cambres,24,1586-10-09,1899-10-11
Envendos,24,1682-10-01,1795-10-29
Idanha a Nova,24,1577-10-23,1899-10-02
Lamas,24,1686-03-23,1902-10-07
Loriga,24,1577-10-19,1879-10-11
Marialva,24,1538-06-30,1878-06-11
Ourique,24,1559-10-28,1907-10-01
Pardilhó,24,1680-10-01,1908-10-02
Pinhanços,24,1687-10-01,1904-10-03
Salvaterra de Magos,24,1657-10-31,1908-10-09
Silvares,24,1538-10-27,1899-10-02
São Miguel de Acha,24,1659-11-06,1910-10-14
São Tiago de Cacém,24,1562-10-01,1900-10-13
Tamengos,24,1580-03-11,1870-06-01
Vila Marim,24,1708-10-01,1906-10-02
Vila Meã,24,1723-10-01,1830-10-30
Vinhó,24,1575-10-20,1873-10-03
Aguada de Cima,23,1629-10-15,1901-10-10
Azambuja,23,1538-07-07,1909-10-08
Barcouço,23,1585-10-02,1844-10-31
Grijó,23,1635-10-10,1896-10-08
Mafra,23,1569-00-00,1872-10-10
Minas Gerais,23,1732-10-01,1883-06-11
Pinheiro de Ázere,23,1596-10-19,1826-10-06
Ribeira de Frades,23,1659-12-10,1862-10-02
Soalhães,23,1618-11-17,1875-10-14
Vila Boa do Bispo,23,1586-10-21,1850-10-31
Vila Pouca do Campo,23,1640-11-10,1890-10-15
Vinha da Rainha,23,1629-02-07,1892-10-14
Alvarenga,22,1583-11-18,1902-10-04
"Arrifana de Sousa, Penafiel",22,1573-10-07,1766-10-01
Ericeira,22,1650-02-12,1856-10-31
Ervedosa do Douro,22,1731-10-01,1892-10-14
Espinho,22,1560-12-01,1912-07-05
Galizes,22,1571-11-10,1874-10-02
Moita,22,1616-12-02,1757-12-30
Mourisca,22,1651-10-19,1764-10-01
"Pará, Brasil",22,1688-10-01,1907-10-04
Póvoa,22,1586-00-00,1901-10-03
Santa Ovaia,22,1621-10-16,1863-10-12
Souselas,22,1590-10-16,1878-10-02
São Miguel de Poiares,22,1578-10-02,1906-10-02
Tojal,22,1537-12-18,1838-10-20
Trofa,22,1570-01-05,1765-10-01
Óvoa,22,1636-10-15,1850-07-10
Amial,21,1627-10-05,1809-11-15
Degracias,21,1663-11-28,1770-10-01
Escalhão,21,1646-10-10,1909-10-13
Fala,21,1540-00-00,1796-10-05
