,wikidata,name,alias,bnp_id,naturalidade,placeID,longitude,latitude,birth_date,fauc_id
731,http://www.wikidata.org/entity/Q10292299,Nicolau Moniz de Bettencourt,,,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1836-03-04,280794
793,http://www.wikidata.org/entity/Q177745,Norton de Matos,,4228,Ponte de Lima,http://www.wikidata.org/entity/Q490180,-8.5833333333333,41.766666666667,1867-03-23,
438,http://www.wikidata.org/entity/Q10338177,Nuno Eugénio Lóssio e Seiblitz,Nuno Eugénio de Lossio,,Recife,http://www.wikidata.org/entity/Q48344,-34.880833333333,-8.0538888888889,1782-10-01,
323,http://www.wikidata.org/entity/Q3346439,Nuno da Cunha e Ataíde,Nuno da cunha e ataíde,1311712,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1664-12-08,148662
324,http://www.wikidata.org/entity/Q3346439,Nuno da Cunha e Ataíde,Nuno da cunha e ataíde,1311712,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1664-12-08,
475,http://www.wikidata.org/entity/Q1515561,Pedro António Correia Garção,,30165,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1724-04-29,177304
476,http://www.wikidata.org/entity/Q1515561,Pedro António Correia Garção,,30165,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1724-04-29,
423,http://www.wikidata.org/entity/Q10347323,Pedro Augusto Ferreira,Pedro augusto ferreira,35756,Lamego,http://www.wikidata.org/entity/Q117591,-7.8666666666667,41.083333333333,1833-11-14,
477,http://www.wikidata.org/entity/Q15631832,Pedro José Constâncio,,,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1781-11-03,195967
108,http://www.wikidata.org/entity/Q660778,Pedro Paulo de Figueiredo da Cunha e Melo,,90910,Portugal,http://www.wikidata.org/entity/Q45,-9.1833333333333,38.7,1770-06-18,
187,http://www.wikidata.org/entity/Q55863605,Pedro Vítor da Costa Sequeira,,,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1845-04-06,223437
779,http://www.wikidata.org/entity/Q1797348,Pedro de Araújo Lima,Marquês de Olinda,,Sirinhaém,http://www.wikidata.org/entity/Q929655,-35.115833333333,-8.5908333333333,1793-12-22,
29,http://www.wikidata.org/entity/Q982358,"Pedro de Sousa Holstein, Duque de Palmela",Pedro de Sousa Holstein,88741,Turim,http://www.wikidata.org/entity/Q495,7.7,45.066666666667,1781-05-08,
439,http://www.wikidata.org/entity/Q15486217,Q15486217,,99729,,,,,1780-05-10,
786,http://www.wikidata.org/entity/Q1771793,Q1771793,,,Waterford,http://www.wikidata.org/entity/Q183551,-7.119,52.2583,1588-10-16,
780,http://www.wikidata.org/entity/Q20980122,Q20980122,,,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1587-09-26,
