bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1764609,Joaquim Dias de Sá,18---19--,,1764609,
1764714,João José Luis Damas,18---19--,,1764714,
1764715,António Machado Acabado,18---19--,,1764715,
1764716,Manuel Marques Vidal,18---19--,,1764716,
1764719,Alfredo Augusto Teixeira Guedes,18---19--,,1764719,
1764720,Joaquim Alexandrino da Conceição,18---19--,,1764720,
1764721,Eduardo Pereira do Vale,18---19--,,1764721,
1764764,Hermínio César Gomes,18---19--,,1764764,
1764771,Henrique da Silva Amorim,18---19--,,1764771,
1764817,Joaquim José Lambertini Rodrigues,18---19--,,1764817,
1764818,Apolinário Monteiro de Azevedo,18---19--,,1764818,
1764822,João Borges de Abrantes,18---19--,,1764822,
1764827,Alfredo Gonçalves Palhares,18---19--,,1764827,
1764903,Francisco Nunes Morgado,18---19--,,1764903,
1764904,Mário Pereira da Cunha,18---19--,,1764904,
1764905,Manuel Joaquim da Silva Mata Júnior,18---19--,,1764905,
1764925,José Filipe do Carmo Álvares,18---19--,,1764925,
1764928,João Batista Antunes de Almeida,18---19--,,1764928,
1764939,António Gomes da Silva Ramos,18---19--,,1764939,
1764940,Joaquim Pereira,18---19--,,1764940,
1764973,João Martins de Carvalho,18--,,1764973,
1765020,Agostinho Emílio de Sousa Pinto,18---19--,,1765020,
1765022,António Ribeiro Leite da Silva,18---19--,,1765022,
1765025,Raúl Augusto de Sampaio,18---19--,,1765025,
1765028,Joaquim Francisco Alves,18---19--,,1765028,
1765030,António Luis Carlos de Andrade e Silva,18---19--,,1765030,
1765112,Bartolomeu Maria de Almeida Caldeira,1786-1881,,1765112,
1765160,Ângelo Pereira de Miranda,18---19--,,1765160,
1765162,José Augusto Xavier Nogueira,18---19--,,1765162,
1765166,Jaime Artur Pinto do Amaral,18---19--,,1765166,
1765169,Albino de Azevedo Maia,18---19--,,1765169,
1765170,Manuel André dos Santos,18---19--,,1765170,
1765190,Francisco António de Paula,1868-1962,,1765190,
1765298,Giraldo Fernandes de Prado,1540-1592,,1765298,
1765370,João Casimiro Barbosa,18---19--,,1765370,
1765372,António da Nóvoa,18---19--,,1765372,
1765373,Alberto Ribeiro de Faria,18---19--,,1765373,
